episode_id,episode_seed,kernel,matrix_size,max_steps,use_cupti,use_nvml,baseline_ms,mean_time_ms,mean_reward,best_speedup,best_reward,steps
0,0,gemm,256,20,False,True,0.20128640234470369,0.21321727961301806,-0.024447061012059686,1.2520302632750102,0.2520302632750102,20
1,1,gemm,256,20,False,True,0.19927040338516236,0.22100800044834618,-0.07954040855207527,1.1287703102509659,0.12877031025096586,20
2,2,gemm,256,20,False,True,0.20049279928207397,0.23887679986655713,-0.13380730143427516,1.0594899687657475,0.059489968765747525,20
3,3,gemm,256,20,False,True,0.26152960062026975,0.2218793597817421,0.20138908141337106,1.6002506138838435,0.6002506138838435,20
4,4,gemm,256,20,False,True,0.19599360525608062,0.21114752039313314,-0.060589946431796896,1.0692737487210777,0.06927374872107772,20
5,5,gemm,512,20,False,True,0.8796160101890564,0.9794559967517852,-0.09645441332838026,0.9817142929063768,-0.018285707093623205,20
6,6,gemm,512,20,False,True,0.894975996017456,0.984532800912857,-0.08634040615031642,0.9922797397795066,-0.007720260220493436,20
7,7,gemm,512,20,False,True,0.842956793308258,0.8841727977991105,-0.0399877155879673,1.0467955098859316,0.04679550988593162,20
8,8,gemm,512,20,False,True,0.8945664167404175,0.8393113607168198,0.0712397405273174,1.1131498791211996,0.11314987912119956,20
9,9,gemm,512,20,False,True,0.814899206161499,0.8810393631458282,-0.06905355776916139,1.0155691826059166,0.015569182605916554,20
10,10,gemm,1024,20,False,True,5.792563152313233,5.7865830373764044,0.018137358318656604,1.147749870328929,0.14774987032892906,20
11,11,gemm,1024,20,False,True,5.095628833770752,5.397114882469178,-0.047762374594811405,0.9958375080857044,-0.00416249191429563,20
12,12,gemm,1024,20,False,True,5.357772731781006,5.4766073369979855,-0.013981221996828396,1.0581644533425019,0.058164453342501865,20
13,13,gemm,1024,20,False,True,5.148057556152343,5.6035939311981195,-0.06805983522042365,1.011508566220656,0.011508566220655991,20
14,14,gemm,1024,20,False,True,5.152767944335937,6.266058554649353,-0.16495247809322516,1.0095902943040624,0.009590294304062441,20
15,15,reduction,256,20,False,True,0.07888640314340592,0.08309120006859302,-0.042168932128685,1.0410473138993952,0.0410473138993952,20
16,16,reduction,256,20,False,True,0.08233599811792373,0.08186432001180947,0.019395839243709533,1.3436030774265129,0.34360307742651286,20
17,17,reduction,256,20,False,True,0.07680000066757202,0.09207199995405972,-0.14059707131753735,1.213592243497174,0.21359224349717398,20
18,18,reduction,256,20,False,True,0.19107840359210967,0.08056032110005616,1.4080277028906119,2.8975155508622366,1.8975155508622366,20
19,19,reduction,256,20,False,True,0.08048640042543412,0.08622560109943152,-0.03774832060785179,1.07967031517289,0.07967031517288992,20
20,20,reduction,512,20,False,True,0.09072640091180802,0.1072435212135315,-0.12536908804781371,0.9932735566102867,-0.006726443389713288,20
21,21,reduction,512,20,False,True,0.09789440184831619,0.09907200112938881,-0.0026317609332233206,1.0863636483900125,0.08636364839001254,20
22,22,reduction,512,20,False,True,0.09605120122432709,0.1000457612425089,-0.028402761954156558,1.0422222197070765,0.042222219707076514,20
23,23,reduction,512,20,False,True,0.09338880181312562,0.10264736108481883,-0.06080390589749248,1.0000000159560474,1.595604737225642e-08,20
24,24,reduction,512,20,False,True,0.09420800060033799,0.10049536101520062,-0.05284969848218988,1.0383747140142185,0.03837471401421855,20
25,25,reduction,1024,20,False,True,0.14621440172195435,0.2421247997879982,-0.39083125547142733,0.6786478266209558,-0.3213521733790442,20
26,26,reduction,1024,20,False,True,0.2803712010383606,0.2713804812729358,0.044123551140314535,1.163126584661206,0.163126584661206,20
27,27,reduction,1024,20,False,True,0.31969280242919923,0.3078246405720711,0.044766175729671155,1.1649253671372148,0.16492536713721484,20
28,28,reduction,1024,20,False,True,0.32071680426597593,0.3476070395112038,-0.07281906214936563,1.0208605217311322,0.020860521731132176,20
29,29,reduction,1024,20,False,True,0.3926015913486481,0.40958975791931146,-0.038321681789775,1.1068129059087446,0.1068129059087446,20
30,30,softmax,256,20,False,True,0.36823039650917055,0.43044863909482955,-0.11238143154580107,1.130106835020831,0.13010683502083098,20
31,31,softmax,256,20,False,True,0.4315136015415192,0.49823743969202033,-0.08266476224508167,1.2005698214998208,0.20056982149982083,20
32,32,softmax,256,20,False,True,0.43397119641304016,0.4827648022770882,-0.05923170373840869,1.4563573857591134,0.45635738575911344,20
33,33,softmax,256,20,False,True,0.35573760271072385,0.3759820809960366,-0.026882554636025284,1.2275618667744268,0.2275618667744268,20
34,34,softmax,256,20,False,True,0.35573760271072385,0.3503411212563515,0.05100895740671681,1.2838137573397903,0.2838137573397903,20
35,35,softmax,512,20,False,True,1.8010112285614013,1.1722752010822295,0.6302219168284497,2.213440768686886,1.213440768686886,20
36,36,softmax,512,20,False,True,1.2824575901031494,1.034547201991081,0.27072852004398307,1.7922151802911461,0.7922151802911461,20
37,37,softmax,512,20,False,True,1.2498943567276002,0.8505753618478774,0.5119377472873115,2.029597560318875,1.0295975603188752,20
38,38,softmax,512,20,False,True,0.9228287935256958,0.6466662430763245,0.5500019734139754,2.1810261365500176,1.1810261365500176,20
39,39,softmax,512,20,False,True,0.5920768022537232,0.5873561590909959,0.061796169457308744,1.4020368729444186,0.4020368729444186,20
40,40,softmax,1024,20,False,True,2.02772479057312,2.1272063970565793,0.005355996114678502,1.4118066451220577,0.41180664512205767,20
41,41,softmax,1024,20,False,True,2.0342783451080324,2.131845108270645,0.01667869435709904,1.4157639321604647,0.4157639321604647,20
42,42,softmax,1024,20,False,True,4.129177570343018,1.999175684452057,1.2256886336220734,3.0218824510952706,2.0218824510952706,20
43,43,softmax,1024,20,False,True,1.9396607875823975,1.9290316832065582,0.07150513878570888,1.4517167361105003,0.45171673611050034,20
44,44,softmax,1024,20,False,True,1.8956288337707519,1.8956595253944393,0.05898297174170388,1.4163733882378984,0.4163733882378984,20
